title,artist,streams
Best Day Of My Life,American Authors,"1,081,555,895"
Love Me Harder,Ariana Grande,"1,008,964,276"
Problem,Ariana Grande,"919,904,474"
Break Free,Ariana Grande,"961,215,348"
Hey Brother,Avicii,"1,074,257,130"
Shower,Becky G,"871,960,819"
Drunk in Love (feat. Jay-Z),Beyoncé,"636,373,053"
Hot N*gga,Bobby Shmurda,"512,052,383"
Summer,Calvin Harris,"1,670,800,781"
Blame (feat. John Newman),Calvin Harris,"1,036,629,577"
Under Control (feat. Hurts),Calvin Harris,"616,018,937"
Boom Clap,Charli xcx,"465,876,294"
Loyal (feat. Lil Wayne & Tyga),Chris Brown,"608,574,707"
New Flame (feat. Usher & Rick Ross),Chris Brown,"358,474,173"
Rather Be (feat. Jess Glynne),Clean Bandit,"1,429,119,758"
First,Cold War Kids,"280,200,413"
Magic,Coldplay,"732,491,885"
A Sky Full of Stars,Coldplay,"1,738,162,303"
Bad (feat. Vassy) - Radio Edit,David Guetta,"633,597,342"
Lovers on the Sun (feat. Sam Martin),David Guetta,"449,204,088"
Latch,Disclosure,"1,127,875,371"
Turn Down for What,DJ Snake,"568,956,861"
You Know You Like It,DJ Snake,"533,565,395"
I Got U,Duke Dumont,"390,472,945"
Cool Kids,Echosmith,"597,223,559"
Don't,Ed Sheeran,"785,834,737"
Sing,Ed Sheeran,"574,349,884"
Ugly Heart,G.R.L.,"397,613,914"
Budapest,George Ezra,"1,298,010,161"
Blame It on Me,George Ezra,"307,242,502"
Ready For Your Love,Gorgon City,"133,903,524"
Fancy,Iggy Azalea,"761,264,737"
Black Widow,Iggy Azalea,"604,529,659"
Talk Dirty (feat. 2 Chainz),Jason Derulo,"767,706,492"
Wiggle (feat. Snoop Dogg),Jason Derulo,"473,622,460"
Trumpets,Jason Derulo,"683,230,433"
Don't Tell 'Em,Jeremih,"594,497,070"
Bang Bang,Jessie J,"1,425,703,097"
All of Me,John Legend,"2,554,868,736"
Not a Bad Thing,Justin Timberlake,"51,536,330"
Dark Horse,Katy Perry,"1,583,890,087"
Show Me (feat. Chris Brown),Kid Ink,"390,713,537"
Hideaway,Kiesza,"345,943,236"
Jealous,Labrinth,"772,680,982"
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,"1,165,308,028"
Team,Lorde,"861,014,742"
Rude,MAGIC!,"1,662,926,962"
Maps,Maroon 5,"1,889,871,124"
Animals,Maroon 5,"1,502,259,491"
Sugar,Maroon 5,"1,957,025,861"
All About That Bass,Meghan Trainor,"859,784,877"
Stolen Dance,Milky Chance,"1,592,953,147"
Classic,MKTO,"1,464,244,898"
Waves - Robin Schulz Radio Edit,Mr. Probz,"1,058,286,908"
Somebody,Natalie La Rose,"343,600,953"
Jealous - Remix,Nick Jonas,"601,943,256"
Anaconda,Nicki Minaj,"503,357,728"
Am I Wrong,Nico & Vinz,"1,034,268,124"
CoCo,O.T. Genasis,"177,011,113"
Gecko (Overdrive) - Radio Edit,Oliver Heldens,"338,704,090"
Wrapped Up (feat. Travie McCoy),Olly Murs,"240,964,233"
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,"496,226,532"
Night Changes,One Direction,"1,905,788,927"
Steal My Girl,One Direction,"923,769,969"
Counting Stars,OneRepublic,"2,731,067,234"
Love Runs Out,OneRepublic,"319,311,605"
Only Love Can Hurt Like This,Paloma Faith,"830,883,592"
Ain't It Fun,Paramore,"516,183,048"
High (feat. Nicole Millar),Peking Duk,"82,496,218"
"Happy - From ""Despicable Me 2""",Pharrell Williams,"1,478,513,529"
Me And My Broken Heart,Rixton,"784,379,798"
Stay With Me,Sam Smith,"2,194,969,252"
Money On My Mind,Sam Smith,"390,246,872"
Collard Greens,ScHoolboy Q,"674,669,298"
Man Of The Year,ScHoolboy Q,"412,572,051"
Geronimo,Sheppard,"619,594,786"
Chandelier,Sia,"1,873,852,466"
Elastic Heart,Sia,"1,011,422,957"
Nobody to Love,Sigma Spin Sessions DeeJay,"1,215,467"
Style,Taylor Swift,"1,315,322,375"
Bad Blood,Taylor Swift,"640,055,528"
Shake It Off,Taylor Swift,"1,529,742,557"
#SELFIE,The Chainsmokers,"255,015,796"
Superheroes,The Script,"647,994,272"
Wasted,Tiësto,"416,403,012"
Red Lights,Tiësto,"329,021,829"
2 On (feat. ScHoolboy Q),Tinashe,"468,254,122"
Habits (Stay High),Tove Lo,"1,006,554,700"
Talking Body,Tove Lo,"643,102,728"
Na Na,Trey Songz,"320,642,395"
Riptide,Vance Joy,"2,869,982,507"
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,"335,115,061"
Faded,ZHU,"344,139,402"
Ghost Town,Adam Lambert,"313,846,085"
Here,Alessia Cara,"665,116,489"
"Honey, I'm Good",Andy Grammer,"450,815,732"
Love Me Harder,Ariana Grande,"1,008,964,276"
The Nights,Avicii,"1,950,915,291"
Waiting For Love,Avicii,"1,493,463,295"
I Don't Fuck With You,Big Sean,"818,770,345"
Electric Love,BØRNS,"1,161,673,241"
Don't,Bryson Tiller,"1,462,125,421"
Outside (feat. Ellie Goulding),Calvin Harris,"1,313,179,904"
How Deep Is Your Love,Calvin Harris,"1,280,664,745"
Ayo,Chris Brown,"613,365,182"
Cool for the Summer,Demi Lovato,"866,205,316"
Confident,Demi Lovato,"596,335,238"
Five More Hours,Deorro,"849,820,031"
Omen - Radio Edit,Disclosure,"265,906,679"
You Know You Like It,DJ Snake,"533,565,395"
Hotline Bling,Drake,"1,392,989,692"
Jumpman,Drake,"839,268,640"
Thinking out Loud,Ed Sheeran,"2,635,602,795"
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,"1,594,924,301"
On My Mind,Ellie Goulding,"510,805,312"
Centuries,Fall Out Boy,"1,279,092,318"
679 (feat. Remy Boyz),Fetty Wap,"843,430,497"
Trap Queen,Fetty Wap,"1,250,800,267"
My Way (feat. Monty),Fetty Wap,"376,158,666"
My House,Flo Rida,"1,133,699,549"
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,"747,823,882"
Mountain at My Gates,Foals,"207,819,906"
Runaway (U & I),Galantis,"952,362,599"
Barcelona,George Ezra,"272,309,547"
Love Myself,Hailee Steinfeld,"662,778,730"
Take Me to Church,Hozier,"2,806,716,897"
Where Are Ü Now (with Justin Bieber),Jack Ü,"1,139,014,063"
oui,Jeremih,"714,296,483"
Classic Man (feat. Roman GianArthur),Jidenna,"194,364,134"
What Do You Mean?,Justin Bieber,"1,708,547,728"
Way down We Go,KALEO,"1,257,135,611"
King Kunta,Kendrick Lamar,"643,919,856"
Stole the Show,Kygo,"1,039,802,257"
Nothing Left (feat. Will Heard),Kygo,"174,210,951"
High By The Beach,Lana Del Rey,"293,439,213"
Hurt Me,Låpsley,"76,517,990"
Closer,Lemaitre,"127,541,773"
Lot to Learn,Luke Christopher,"325,001,726"
Lean On,Major Lazer,"2,235,070,345"
Light It Up (Remix),Major Lazer,"1,373,289,757"
Uptown Funk (feat. Bruno Mars),Mark Ronson,"2,143,889,899"
Intoxicated - Radio Edit,Martin Solveig,"385,299,332"
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,"388,172,187"
