title,artist,pop_today,track_id,url
Sweater Weather,The Neighbourhood,90,2QjOHCTQ1Jl3zawyYOpxh6,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
What About Us,The Saturdays,51,4Hsn8y4PcSU6bm9bLB1gwy,https://open.spotify.com/track/4Hsn8y4PcSU6bm9bLB1gwy
Another Love,Tom Odell,86,3JvKfv6T31zO0ini8iNItO,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO
Bad (feat. Rihanna) - Remix,Wale,64,5yhKaacMZGRo4s6evJx9vk,https://open.spotify.com/track/5yhKaacMZGRo4s6evJx9vk
Scream & Shout,will.i.am,76,2iJuuzV8P9Yz0VSurttIV5,https://open.spotify.com/track/2iJuuzV8P9Yz0VSurttIV5
#thatPOWER,will.i.am,64,01TuObJVd7owWchVRuQbQw,https://open.spotify.com/track/01TuObJVd7owWchVRuQbQw
The Fox (What Does the Fox Say?),Ylvis,62,5HOpkTTVcmZHnthgyxrIL8,https://open.spotify.com/track/5HOpkTTVcmZHnthgyxrIL8
Clarity,Zedd,73,60wwxj6Dd9NJlirf84wr2c,https://open.spotify.com/track/60wwxj6Dd9NJlirf84wr2c
She Looks So Perfect,5 Seconds of Summer,67,1gugDOSMREb34Xo0c1PlxM,https://open.spotify.com/track/1gugDOSMREb34Xo0c1PlxM
Amnesia,5 Seconds of Summer,58,1JCCdiru7fhstOIF4N7WJC,https://open.spotify.com/track/1JCCdiru7fhstOIF4N7WJC
Heroes (we could be),Alesso,48,0YzCQcsgj6KqwBHVx1mZrH,https://open.spotify.com/track/0YzCQcsgj6KqwBHVx1mZrH
The Man - Draft Day Mix,Aloe Blacc,10,77ZDYZaY5ppRrVqZOMUF2P,https://open.spotify.com/track/77ZDYZaY5ppRrVqZOMUF2P
Best Day Of My Life,American Authors,77,5Hroj5K7vLpIG4FNCRIjbP,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
Love Me Harder,Ariana Grande,78,5J4ZkQpzMUFojo1CtAZYpn,https://open.spotify.com/track/5J4ZkQpzMUFojo1CtAZYpn
Problem,Ariana Grande,75,7vS3Y0IKjde7Xg85LWIEdP,https://open.spotify.com/track/7vS3Y0IKjde7Xg85LWIEdP
Break Free,Ariana Grande,75,12KUFSHFgT0XCoiSlvdQi4,https://open.spotify.com/track/12KUFSHFgT0XCoiSlvdQi4
Hey Brother,Avicii,76,4lhqb6JvbHId48OUJGwymk,https://open.spotify.com/track/4lhqb6JvbHId48OUJGwymk
Shower,Becky G,75,3DmW6y7wTEYHJZlLo1r6XJ,https://open.spotify.com/track/3DmW6y7wTEYHJZlLo1r6XJ
Drunk in Love (feat. Jay-Z),Beyoncé,70,6jG2YzhxptolDzLHTGLt7S,https://open.spotify.com/track/6jG2YzhxptolDzLHTGLt7S
Hot N*gga,Bobby Shmurda,67,19gEmPjfqSZT0ulDRfjl0m,https://open.spotify.com/track/19gEmPjfqSZT0ulDRfjl0m
Summer,Calvin Harris,81,6YUTL4dYpB9xZO5qExPf05,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05
Blame (feat. John Newman),Calvin Harris,79,07nH4ifBxUB4lZcsf44Brn,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
Under Control (feat. Hurts),Calvin Harris,76,4J7CKHCF3mdL4diUsmW8lq,https://open.spotify.com/track/4J7CKHCF3mdL4diUsmW8lq
Boom Clap,Charli xcx,60,0Y1MWB026LYxGvhq4EcMiC,https://open.spotify.com/track/0Y1MWB026LYxGvhq4EcMiC
Loyal (feat. Lil Wayne & Tyga),Chris Brown,75,5BrTUo0xP1wKXLJWUaGFtk,https://open.spotify.com/track/5BrTUo0xP1wKXLJWUaGFtk
