title,artist,top_genre,year_released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top_year,artist_type,pop_today,track_id,url,streams
When You Love Someone,James TW,neo mellow,2019,2020‑06‑08,126,45,68,-6,5,35,217,26,3,79,2016,Solo,68,0TXNKTzawI6VgLoA9UauRp,https://open.spotify.com/track/0TXNKTzawI6VgLoA9UauRp,666906870.00
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,2015,2020‑06‑19,139,78,43,-4,8,20,250,4,6,78,2015,Duo,72,66hayvUbTotekKU3H4ta1f,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,1139014063.00
Where Have You Been,Rihanna,barbadian pop,2011,2020‑06‑22,128,85,72,-6,22,44,243,0,9,76,2012,Solo,72,5WQQIDU3HRaMyPkob8mpFb,https://open.spotify.com/track/5WQQIDU3HRaMyPkob8mpFb,763685743.00
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,2011,2020‑06‑16,130,87,66,-3,23,56,210,3,4,69,2011,Solo,67,63rbP24OzfaQCJjsHWZXnY,https://open.spotify.com/track/63rbP24OzfaQCJjsHWZXnY,657854590.00
Wherever I Go,OneRepublic,dance pop,2016,2021‑11‑25,100,68,54,-6,24,35,170,10,4,68,2016,Band/Group,58,7kftK4n15rl1wbpfjSq2Tk,https://open.spotify.com/track/7kftK4n15rl1wbpfjSq2Tk,499295705.00
White Noise,Disclosure,edm,2013,2020‑06‑11,120,85,68,-6,35,87,278,1,5,54,2013,Duo,61,5EWFuo4ObEnfndc57sTuIo,https://open.spotify.com/track/5EWFuo4ObEnfndc57sTuIo,109650520.00
Who Says,Selena Gomez & The Scene,dance pop,2011,2020‑06‑16,101,93,68,-3,15,74,196,8,5,81,2011,Band/Group,71,3TcL0dyCMyr0kyTTc4NLgI,https://open.spotify.com/track/3TcL0dyCMyr0kyTTc4NLgI,533814333.00
Who's That Chick? (feat. Rihanna),David Guetta,big room,2010,2020‑06‑16,128,60,68,-5,5,93,201,0,12,66,2011,Solo,70,7e1h7rqNB0BBC2fUuWEEFe,https://open.spotify.com/track/7e1h7rqNB0BBC2fUuWEEFe,293988677.00
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,2013,2020‑06‑11,92,63,69,-6,10,80,161,5,4,90,2013,Band/Group,84,086myS9r57YsLbJpU0TgK9,https://open.spotify.com/track/086myS9r57YsLbJpU0TgK9,1896808669.00
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2013,2020‑06‑10,82,62,70,-7,16,72,193,8,25,63,2014,Solo,54,2sLwPnIP3CUVmIuHranJZU,https://open.spotify.com/track/2sLwPnIP3CUVmIuHranJZU,473622460.00
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2017,2021‑01‑28,98,68,61,-3,13,62,205,3,8,70,2017,Solo,66,45XhKYRRkyeqoW3teSOkCM,https://open.spotify.com/track/45XhKYRRkyeqoW3teSOkCM,1235890922.00
Wildest Dreams,Taylor Swift,pop,2014,2020‑06‑19,140,67,55,-7,11,47,220,7,7,76,2015,Solo,64,59HjlYCeBsxdI0fcm3zglw,https://open.spotify.com/track/59HjlYCeBsxdI0fcm3zglw,1022028108.00
